"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"Мазь для наружного применения"
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"Мазь для наружного применения"
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"Мазь для наружного применения"
"ЛЕРСИН® (LERSINUM) порошок";"Порошок"
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%";"Раствор для наружного применения"
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%";"Раствор для наружного применения"
"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения";"Раствор для наружного применения"
"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)";"Раствор для аэрозольного применения"
"ЙОДИНОКОЛЬ (IODINOKOLUM)";"Раствор для аэрозольного применения"
"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения";"Раствор для наружного применения"
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%";"Раствор для наружного применения"
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%";"Раствор для наружного применения"
"БУТОФАН® OR (BUTOFAN OR) раствор";"Раствор"
"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций";"Суспензия для инъекций"
"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций";"Раствор для инъекций"
"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)";"Суспензия для орального применения 10%"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг";"Таблетки для перорального применения"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг";"Таблетки для перорального применения"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг";"Таблетки для перорального применения"
"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения";"Раствор для перорального применения"
"ИПАКИТИНЕ (IPAKITINE)";"Порошок для перорального применения"
"ОРИДЭРМИЛ (ORIDERMYL®)";"Мазь для аурикулярного применения"
"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим.";"Аэрозоль для наружного применения"
"АСД фракция 3 (ASD( )fraction 3)";"Раствор для наружного и внутриматочного применения"
"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций";"Суспензия для инъекций"
"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций";"Суспензия для инъекций"
"ПУЛВАК E. coli (POULVAC E. coli)";"Лиофилизат для приготовления раствора для выпаивания и распыления"
"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь";"Лиофилизат для приготовления раствора для выпаивания"
