species.name;breeds.name (NOT NULL)
Кошки;Колорпойнт короткошерстный
Кошки;Корат
Кошки;Корниш-рекс
Кошки;Курильский бобтейл длинношерстный
Кошки;Курильский бобтейл короткошерстный
Кошки;Курильский бобтейл полудлинношерстный
Кошки;Ла-Перм
Кошки;Леопардетта
Кошки;Малайская короткошерстная
Кошки;Мальтийская
Кошки;Мандарин
Кошки;Манкс (Мэнская бесхвостая)
Кошки;Манчкин длинношерстный
Кошки;Манчкин короткошерстный
Кошки;Меконг
Кошки;Метис
Кошки;Мэй
Кошки;Мэйн-Кун (Мэнская енотовая)
Кошки;Наполеон
Кошки;Невская маскарадная
Кошки;Нибелунг (Русская голубая длинношерстная)
Кошки;Норвежская лесная (Ског кэт)
Кошки;Ориентальная длинношерстная
Кошки;Ориентальная короткошерстная
Кошки;Охос Азулес
Кошки;Оцикет
Кошки;Пекинская (пекинес)
Кошки;Персидская
Кошки;Персидская миниатюрная
Кошки;Петерболд (Петербургский сфинкс)
Кошки;Пикси-боб
Кошки;Питерболд
Кошки;Пуделькэт
Кошки;Пума Канадская
Кошки;Рагамаффин
Кошки;Реке
Кошки;Ринг-тэйл кэт (кольцехвостая кошка)
Кошки;Русская голубая
Кошки;Рэгдолл (Тряпичная кукла)
Кошки;Саванна
Кошки;Сафари
Кошки;Священная Бирма
Кошки;Селкирк рекс
Кошки;Сервал (Африканская, Кустарниковая кошка)
Кошки;Серенгетти
Кошки;Сиамская короткошерстная
Кошки;Сибирская
Кошки;Сингапура
Кошки;Си-рекс
Кошки;Скиф-тай-той-боб, см. Тойбоб.
Кошки;Скоттиш-страйт (с обычными ушами)
Кошки;Скоттиш-Фолд длинношерстный
Кошки;Скоттиш-Фолд короткошерстный
Кошки;Сноу-Шу
Кошки;Сомали
Кошки;Соукок
Кошки;Споттед Мист
Кошки;Стерлинг (золотистые и серебристые шиншиллы)
Кошки;Тайская короткошерстная
Кошки;Тайская кошка
Кошки;Тайский бобтейл
Кошки;Тиффани (Бурма длинношерстная)
Кошки;Тиффани-Шантилли
Кошки;Тойбоб (Скиф-тай-той-боб, карликовый бобтейл)
Кошки;ТОЙГЕР 
Кошки;Тонкинез Tonkinese
Кошки;Турецкая ангора
Кошки;Турецкий ван
Кошки;Украинский левкой (Ukrainian Levkoy)
Кошки;Уральский рекс длинношерстный
Кошки;Уральский рекс короткошерстный
Кошки;Уссури
Кошки;Форинвайт (иностранная белая) длинношерстный
Кошки;Форинвайт (иностранная белая) короткошерстный
Кошки;Хайленд страйт (Highland straight)
Кошки;Хайленд фолд 
Кошки;Хайлэнд линкс кэт
Кошки;Хемингуэй кэт
Кошки;Хоннейбеа (Honneybear)
Кошки;Цейлон
Кошки;Шантилли (Тиффани-Шантилли)
Кошки;Шартрез
Кошки;Шаузи
Кошки;Шиншилла
Кошки;Шотландская вислоухая длинношерстная
Кошки;Шотландская вислоухая короткошерстная
Кошки;Шотландская короткошерстная
Кошки;Экзотическая длинношерстная
Кошки;Экзотическая короткошерстная
Кошки;Яванез
Кошки;Японский бобтейл длинношерстный
Кошки;Японский бобтейл короткошерстный
Кролики;Айдахский кролик, кролик-пигмей  (Brachylagus idahoensis)
Кролики;Аляска
Кролики;Английский Великан
Кролики;Английский кролик
Кролики;Английский пёстрый кролик
Кролики;Английский пятнистый кролик
Кролики;Ангорский кролик
Кролики;Бабочка
Кролики;Баран
Кролики;Баран английский
Кролики;Баран карликовый
Кролики;Баран крупный
Кролики;Баран мелкий
Кролики;Баран немецкий
Кролики;Баран французский
Кролики;Белка
Кролики;Белоостевой кролик
Кролики;Белый Великан
Кролики;Белый пуховый кролик
Кролики;Бельгийский заяц
Кролики;Блан хотот 
Кролики;Бургундский кролик
Кролики;Великан
Кролики;Венский белый кролик
Кролики;Венский голубой кролик
Кролики;Венский кролик
Кролики;Венский чёрный кролик
Кролики;Вуалевый серебристый кролик
Кролики;Гаванна
Кролики;Гигантский фландр
Кролики;Голландский кролик
Кролики;Горный кролик
Кролики;Дейлинаар
Кролики;Другая
Кролики;Заячий кролик
Кролики;Земплинский кролик
Кролики;Золото Саксонии
Кролики;Испанский Великан
Кролики;Карликовая бабочка
