Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
собаки;смитфильд-колли;Собаки;Смитфилд (Колли Смитфилда);;;
собаки;спиноне;Собаки;ИТАЛЬЯНСКИЙ СПИНОНЕ ;;;
собаки;среднеазиатская овчарка;Собаки;Среднеазиатская овчарка;;;
собаки;средний шнауцер;Собаки;Средний шнауцер (черный);;;
собаки;стародатская легавая;Собаки;Гаммель данск хонсехунд;;;
собаки;стафордширский бультерьер;Собаки;СТАФФОРДШИРСКИЙ БУЛЬТЕРЬЕР ;;;
собаки;суссекс-спаниель;Собаки;САССЕКС СПАНИЕЛЬ ;;;
собаки;тазы (среднеазиатская борзая);Собаки;Тазы (Казахская борзая);;;
собаки;тайган, киргизская борзая;Собаки;Тайган (Киргизская борзая);;;
собаки;тай риджбек;Собаки;Тайский риджбек;;;
собаки;такса гладкошерстная;Собаки;Такса гладкошерстная;нет в справочнике AnimalID;;
собаки;такса длинношерстная;Собаки;Такса длинношерстная;нет в справочнике AnimalID;;
собаки;такса жесткошерстная;Собаки;Такса жесткошерстная;нет в справочнике AnimalID;;
собаки;такса кроличья;Собаки;Такса кроличья;нет в справочнике AnimalID;;
собаки;такса миниатюрная;Собаки;Такса миниатюрная г;;;
собаки;такса стандартная;Собаки;ТАКСА ;;;
собаки;тибетский мастиф;Собаки;Тибетский мастиф (до-хи, тибетский дог);;;
собаки;тибетский спаниель;Собаки;ТИБЕТСКИЙ СПАНИЕЛЬ ;;;
собаки;тибетский терьер;Собаки;ТИБЕТСКИЙ ТЕРЬЕР ;;;
собаки;той-пудель;Собаки;ТОЙ ПУДЕЛЬ ;;;
собаки;той-терьер;Собаки;Той терьер;;;
собаки;тоса ину;Собаки;Тоcа-Ину;;;
собаки;уест-хайланд-уайт-терьер;Собаки;ВЕСТ ХАЙЛЕНД ВАЙТ ТЕРЬЕР ;;;
собаки;уипет;Собаки;УИППЕТ ;;;
собаки;фален, континентальный той-спаниель;Собаки;КОНТИНЕНТАЛЬНЫЙ ТОЙ СПАНИЕЛЬ ФАЛЕН;;;
собаки;фараоновая собака;Собаки;ФАРАОНОВА СОБАКА ;;;
собаки;фила бразилейру (бразильский мастиф);Собаки;Фила бразилейро;;;
собаки;фильд спаниель;Собаки;ФИЛД СПАНИЕЛЬ ;;;
собаки;финская лайка;Собаки;Карело-Финская лайка;;;
собаки;финский шпиц;Собаки;ФИНСКИЙ ШПИЦ ;;;
собаки;фландрский бувье;Собаки;ФЛАНДЕРСКИЙ БУВЬЕ ;;;
собаки;фокстерьер гладкошерстный;Собаки;ФОКСТЕРЬЕР ГЛАДКОШЕРСТНЫЙ ;;;
собаки;фокстерьер жесткошерстный;Собаки;ФОКСТЕРЬЕР ЖЕСТКОШЕРСТНЫЙ ;;;
собаки;французская гончая;Собаки;Французская черно-пегая гончая;;;
собаки;французский бульдог;Собаки;Французский бульдог;;;
собаки;французский эпаньоль;Собаки;Французский спаниель;;;
собаки;француский бульдог;Собаки;Французский бульдог;;;
собаки;ханаанская собака;Собаки;Ханаанская собака;;;
собаки;хаски антарктическая;Собаки;ХАСКИ;;;
собаки;ховаварт;Собаки;Ховаварт;;;
собаки;хорватская овчарка;Собаки;Хорватская овчарка;;;
собаки;хортая;Собаки;Хортая борзая;нет в справочнике AnimalID;;
собаки;цвергпинчер;Собаки;ЦВЕРГПИНЧЕР ;;;
собаки;цвергшнауцер;Собаки;ЦВЕРГШНАУЦЕР ;;;
собаки;цвергшпиц ;Собаки;Цвергшпиц;нет в справочнике AnimalID;;
собаки;чау-чау;Собаки;ЧАУ ЧАУ ;;;
собаки;черный терьер;Собаки;Русский черный терьер;;;
собаки;чесапик бей ретривер;Собаки;ЧЕСАПИК БЭЙ РЕТРИВЕР ;;;
собаки;чехословацкий влчак;Собаки;Чехословацкий влчак;;;
собаки;чешский терьер;Собаки;Чешский терьер;;;
собаки;чинук;Собаки;Чинук (chinook);;;
собаки;чихуахуа;Собаки;ЧИХУАХУА ;;;
собаки;чи-хуа-хуа;Собаки;ЧИХУАХУА ;;;
собаки;шарпей;Собаки;ШАР ПЕЙ ;;;
собаки;шарпланинская овчарка;Собаки;Шарпланинская овчарка (Македонская овчарка);;;
собаки;швейцарская овчарка;Собаки;Белая швейцарская овчарка;;;
собаки;шелти;Собаки;ШЕЛТИ ;;;
собаки;шельти;Собаки;ШЕЛТИ ;;;
собаки;шиллерстёваре;Собаки;Гончая шиллера;;;
собаки;шипперке;Собаки;Шипперке (3-5 кг);;;
собаки;ши-тцу;Собаки;ШИ ТЦУ;;;
собаки;шотландский терьер;Собаки;СКОТЧ ТЕРЬЕР ;;;
собаки;шпиц;Собаки;Шпиц;нет в справочнике AnimalID;;
собаки;Щвейцарский зенненхунд;Собаки;Большой швейцарский зенненхунд;;;
собаки;энтлебухер зенненхунд;Собаки;Эллинский икнилатис (энтлебухер зенненхунд);;;
собаки;эрдельтерьер;Собаки;ЭРДЕЛЬТЕРЬЕР ;;;
собаки;эскимосская лайка;Собаки;Канадская эскимосская собака (Эскимосская лайка);нет в справочнике AnimalID;;
собаки;эстонская гончая;Собаки;Эстонская гончая;;;
собаки;югославская грехцветная гончая;Собаки;Югославский трехцветный гонич;;;
собаки;южнорусская овчарка;Собаки;Южнорусская овчарка;;;
собаки;ягдтерьер;Собаки;Ягд-терьер;;;
собаки;японский стерьер;Собаки;Японский терьер (Нихон терьер);;;
собаки;японский хин;Собаки;Японский Хин;;;
собаки;японский шпиц;Собаки;Японский шпиц;;;
собаки;;Собаки;;;;
тигр;амурский;Хищные;Амурский тигр (Panthera tigris altaica);;;
улитки;;Моллюски;;Нет обмена с AnimalID;;
хомяки;бежевый (кремовый) золотистый хомяк;Грызуны;Хомяк золотистый, бежевый, кремовый (Cricetinae);;;
хомяки;джунгарский карликовый хомяк;Грызуны;Джунгарский хомяк (Phodopus sungorus);;;
хомяки;длинношерстный золотистый хомяк (ангорский тип);Грызуны;Хомяк золотистый, длинношерстный, ангорский (Cricetinae);;;
хомяки;обычный золотистый хомяк;Грызуны;Хомяк золотистый, обыкновенный (Cricetinae);;;
хомяки;русский хомяк;Грызуны;Хомяк русский (Cricetinae);;;
хомяки;;Грызуны;Хомяк (Cricetinae);;;
хорьки;домашний;Хорьки;Хорек домашний;;;
хорьки;;Хорьки;;;;
шиншила;короткошерстная;Грызуны;Шиншиллы короткошёрстные (Chinchilla);;;
шиншила;;Грызуны;Шиншиллы (Chinchilla);;;
