Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
лошадь;голландская упряжная лошадь;Лошади;Голландская упряжная порода;;;
лошадь;голштинская лошадь;Лошади;Голштинская порода;;;
лошадь;латвийская упряжная лошадь;Лошади;Латвийская порода;;;
лошадь;литовская тяжелоупряжная лошадь;Лошади;Литовская тяжелоупряжная порода;;;
лошадь;ольденбургская лошадь;Лошади;Ольденбургская порода;;;
лошадь;орловский pысак;Лошади;Орловский рысак;;;
лошадь;пони;Лошади;Дартмурский пони;;;
лошадь;русская рысистая лошадь;Лошади;Русская рысистая порода;;;
лошадь;русская тяжеловозная лошадь;Лошади;Русский тяжеловоз;;;
лошадь;тракененская лошадь;Лошади;Тракененская порода;;;
лошадь;шетландский пони;Лошади;Шетландские (шетлендские) пони;;;
лошадь;эстонская лошадь;Лошади;Эстонская местная порода;;;
лошадь;;Лошади;;;;
морские свинки;американский крестед;Грызуны;Морская свинка (Американский крестед);;;
морские свинки;английский крестед;Грызуны;Морская свинка (Английский крестед);;;
морские свинки;гималайцы;Грызуны;Морская свинка (Гималайцы);;;
морские свинки;двухцветные;Грызуны;Морская свинка (Двухцветные);;;
морские свинки;коронет;Грызуны;Морская свинка (Коронет);;;
морские свинки;мерино;Грызуны;Морская свинка (Мерино);;;
морские свинки;рекс;Грызуны;Морская свинка (Рекс);;;
морские свинки;скинни;Грызуны;Морская свинка (Скинни);;;
морские свинки;трехцветные;Грызуны;Морская свинка (Трёхцветные);;;
морские свинки;чалые;Грызуны;Морская свинка (Чалые);;;
морские свинки;шелти;Грызуны ;Морская свинка (Шелти);;;
морские свинки;;Грызуны;Морская свинка (Cavia porcellus);;;
мышь;*;Грызуны;Мыши (Muridae);;;
насекомые энтомофаги;;Насекомые энтомофаги;;Нет обмена с AnimalID;;
овцы;;Овцы;;;;
паукообразные;;Паукообразные;;Нет обмена с AnimalID;;
песчанка;*;Грызуны;Песчанки (Gerbillinae);;;
попугай;волнистый попугай;Птицы;Волнистый попугайчик (Melopsittacus undulatus);;;
попугай;жако;Птицы;Жако, серый попугай (Psittacus erithacus);;;
попугай;какарики (cyanoramphus);Птицы;Какарики, Антиподский прыгающий попугай (Cyanoramphus unicolor);;;
попугай;мускусные лорикеты (glossopsitta);Птицы;Мускусный лорикет (Glossopsitta concinna);;;
попугай;неразлучники (agapornis);Птицы;Неразлучники (Agapornis);;;
попугай;нимфа или карелла (nymphicus);Птицы;Корелла (Nymphicus hollandicus);;;
попугай;*;Птицы;Попугай;;;
птицы;ворон;Птицы;Ворон (Corvus corax);;;
птицы;;Птицы;;;;
рептилии;;Рептилии;;;;
свиньи;;Свиньи;;;;
собаки;австралийская борзая, кенгуровая;Собаки;Австралийская борзая (Кенгуровая собака);нет в справочнике AnimalID;;
собаки;австралийская овчарка;Собаки;АВСТРАЛИЙСКАЯ ОВЧАРКА ;;;
собаки;австралийский терьер;Собаки;АВСТРАЛИЙСКИЙ ТЕРЬЕР ;;;
собаки;азавак;Собаки;Азавак;;;
собаки;аиди, атласская овчарка;Собаки;Аиди (атласская овчарка);;;
собаки;айну;Собаки;Хоккайдо;;;
собаки;акбаш;Собаки;Акбаш;;;
собаки;акита ину;Собаки;Акита-Ину;;;
собаки;акита-ину;Собаки;Акита-Ину;;;
собаки;Акита - ину;Собаки;Акита-Ину;;;
собаки;алабай;Собаки;Среднеазиатская овчарка;;;
собаки;альпийский спаниель;Собаки;КЛАМБЕР СПАНИЕЛЬ ;;;
собаки;аляскинский маламут;Собаки;АЛЯСКИНСКИЙ МАЛАМУТ ;;;
собаки;американский бульдог;Собаки;Американский бульдог;;;
собаки;американский водяной спаниель;Собаки;Американский водяной спаниель;;;
собаки;американский кокер спаниель;Собаки;АМЕРИКАНСКИЙ КОКЕР СПАНИЕЛЬ ;;;
собаки;американский питбультерьер;Собаки;Американский питбультерьер;;;
собаки;американский стафордшир-терьер;Собаки;Американский Стаффордширский Терьер;;;
собаки;американский той-фокстерьер;Собаки;Той-фокстерьер;;;
собаки;американский фоксхаунд;Собаки;Американский фоксхаунд;;;
собаки;американский эскимоский шпиц;Собаки;Американский эскимосский шпиц;нет в справочнике AnimalID;;
собаки;анатолийский карабаш;Собаки;Кобан кёпежи (анатолийская овчарка);;;
собаки;английская овчарка;Собаки;Английская овчарка;нет в справочнике AnimalID;;
собаки;английский бульдог;Собаки;Английский бульдог;;;
собаки;английский водяной спаниель;Собаки;Английский водяной спаниель;нет в справочнике AnimalID;;
собаки;английский кокер спаниель;Собаки;АНГЛИЙСКИЙ КОКЕР СПАНИЕЛЬ ;;;
собаки;английский мастиф;Собаки;Английский мастиф (English Mastiff);;;
собаки;английский пойнтер;Собаки;ПОЙНТЕР ;;;
собаки;английский сеттер;Собаки;АНГЛИЙСКИЙ СЕТТЕР ;;;
собаки;английский спрингер-спаниель;Собаки;АНГЛИЙСКИЙ СПРИНГЕР СПАНИЕЛЬ ;;;
собаки;английский той-терьер;Собаки;АНГЛИЙСКИЙ ТОЙ ТЕРЬЕР (ЧЕРНО-ПОДПАЛЫЙ) ;;;
собаки;аппенцеллер;Собаки;Аппенцеллер зенненхунд;;;
собаки;аргентинский дог;Собаки;Аргентинский дог;;;
собаки;артезиано-нормандский бассет;Собаки;Артезиано-нормандский бассет;;;
собаки;арьежская гончая;Собаки;Арьежуа;;;
собаки;афганская борзая;Собаки;АФГАНСКАЯ БОРЗАЯ ;;;
собаки;афганская гончая;Собаки;АФГАНСКАЯ БОРЗАЯ ;;;
собаки;аффенпинчер;Собаки;АФФЕНПИНЧЕР ;;;
собаки;баварская горная гончая;Собаки;Баварская следовая гончая;;;
собаки;балканская гончая;Собаки;Сербский гонич;;;
собаки;барбе;Собаки;Барбе;;;
собаки;басенджи;Собаки;БАСЕНДЖИ ;;;
собаки;баскетмейкер;Собаки;Баскетмейкер;;;
собаки;бассетхаунд;Собаки;БАССЕТ ХАУНД ;;;
