"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг";"ЭЛАНКО РУС ООО (Россия)";"NOVARTIS SANTE ANIMALE S.A.S. (Франция)";"ЭЛАНКО РУС ООО (Россия)"
"АТОПИКА® (ATOPICA®) капсулы 10 мг";"ЭЛАНКО РУС ООО (Россия)";"CATALENT GERMANY EBERBACH GmbH (Германия)";"ЭЛАНКО РУС ООО (Россия)"
"АТОПИКА® (ATOPICA®) капсулы 25 мг";"ЭЛАНКО РУС ООО (Россия)";"CATALENT GERMANY EBERBACH GmbH (Германия)";"ЭЛАНКО РУС ООО (Россия)"
"АТОПИКА® (ATOPICA®) капсулы 50 мг";"ЭЛАНКО РУС ООО (Россия)";"CATALENT GERMANY EBERBACH GmbH (Германия)";"ЭЛАНКО РУС ООО (Россия)"
"АТОПИКА® (ATOPICA®) капсулы 100 мг";"ЭЛАНКО РУС ООО (Россия)";"CATALENT GERMANY EBERBACH GmbH (Германия)";"ЭЛАНКО РУС ООО (Россия)"
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 90 мг, 100 мг";"KRKA d.d., Novo Mesto (Словения)";"KRKA d.d., Novo Mesto (Словения)";"КРКА, фармацевтический завод, д.д., Ново место АО (Словения)"
"ИВЕРМЕК OR (IVERMEK OR)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЛЕКСОФЛОН® OR (LEXOFLON® OR)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЦИФЛУНИТ® ФЛОК (CYFLUNIT FLOCK) раствор д/наружного применения";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"РИКАЗОЛ® (RICAZOL) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЦЕФТОНИТ® ФОРТЕ (CEFTONIT FORTE) сусп. д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"НИТОКС® ФОРТЕ (NITOX® FORTE) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"МЕРАДОК (MERADOK) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
