"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";" 44-3-9.12-2940 № ПВР-3-29.11/02820 от 31.12.15"
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";" 44-3-28.11-2995 № ПВР-3-28.11/02783 от 09.02.16"
"ФЛОРОКС® (FLOROX) раствор д/инъекций";" 44-3-8.14-2267 № ПВР-3-6.9/02430 от 09.09.14"
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";" 44-3-12.12-3039 № ПВР-3-5.0/00530 от 29.02.16"
"СТРОЛИТИН® (STROLITINE) раствор";"№ ПВР-2-17.13/02937 от 01.09.15"
"СЕПРАНОЛ (SEPRANOL)";"44-3-22.12-0904 № ПВР-3-22.12/02852 от 15.08.12"
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";" 44-3-12.12-2721 № ПВР-3-5.0/00533 от 09.07.15"
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"44-3-27.12-1131 № ПВР-3-3.7/01972 от 09.11.12"
"МАСТОМИЦИН® (MASTOMICIN)";" 44-3-27.12-3226 № ПВР-3-1.6/01606 от 09.06.16"
"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций";" 44-3-5.15-2726 № ПВР-3-4.0/02556 от 16.07.15"
"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор";"№ RU.77.99.88.002.E.006038.07.14 от 23.07.14"
"ДОКСИЛОКС OR (DOXYLOX OR)";" 44-3-36.13-1936 № ПВР-3-36.13/03019 от 22.04.14"
"ДИТРИМ® (DITRIM®) раствор д/инъекций";" 44-3-21.12-2938 № ПВР-3-3.5/01492 от 31.12.15"
"БУТОФАН® (BUTOFAN) раствор д/инъекций";" 44-3-32.13-3122 № ПВР-3-32.13/02978 от 12.04.16"
"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций";" 44-3-8.14-2268 № ПВР-3-6.9/02429 от 09.09.14"
"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций";" № ПВР-3-4.15/03139 от 11.06.15"
"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)";" № ПВР-3-3.15/03142 от 11.06.15"
"СТАРТИН-ФИТО (STARTINUM-FITO)";" 12-3-2.15-2553 № ПВР-3-2.15/03118 от 23.03.15"
"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения";"12-3-7.12-2640 № ПВР-3-1.5/01322 от 05.06.15"
"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"12-3-38.12-1272 № ПВР-3-4.1/00815 от 26.02.13"
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"12-3-13.13-1454 № ПВР-3-13.13/02925 от 12.07.13"
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"12-3-1.14-2656 № ПВР-3-2.3/01261 от 11.06.15"
"ЛЕРСИН® (LERSINUM) порошок";"12-3-8.14-2248 № ПВР-3-4.9/02397 от 04.09.14"
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%";"12-3-7.12-0705 № ПВР-3-1.2/00944 от 28.04.12"
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%";"12-3-7.12-0705 № ПВР-3-1.2/00944 от 28.04.12"
"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения";" 12-3-7.16-3321 № ПВР-3-8.11/02723 от 14.07.16"
"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)";" 12-3-7.12-0667 № ПВР-3-1.5/01511 от 17.04.12"
"ЙОДИНОКОЛЬ (IODINOKOLUM)";" 12-3-7.12-0665 № ПВР-3-1.5/01511 от 17.04.12"
"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения";" 12-3-7.12-0668 № ПВР-3-1.9/00276 от 17.04.12"
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%";" 12-3-7.12-0706 № ПВР-3-1.2/00945 от 28.04.12"
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%";" 12-3-7.12-0706 № ПВР-3-1.2/00945 от 28.04.12"
"БУТОФАН® OR (BUTOFAN OR) раствор";"№ ПВИ-2-17.13/02935 от 25.09.15"
"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций";" 44-3-7.14-2177 № ПВР-3-7.14/03044 от 19.08.14"
"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций";"44-3-6.14-3238 № ПВИ-3-6.14/03058 от 16.06.16"
"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)";" 44-3-12.12-3038 № ПВР-3-3.5/01491 от 29.02.16"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг";"250-3-7.14-3175 № ПВИ-3-7.14/04358 от 06.05.16"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг";"250-3-7.14-3175 № ПВИ-3-7.14/04358 от 06.05.16"
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг";"250-3-7.14-3175 № ПВИ-3-7.14/04358 от 06.05.16"
"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения";"250-3-8.16-3360 № ПВИ-2-3.5/01750 от 16.08.16"
"ИПАКИТИНЕ (IPAKITINE)";"250-3-4.15-2616 № ПВИ-3-11.9/03038 от 08.05.15"
"ОРИДЭРМИЛ (ORIDERMYL®)";"250-3-1.15-2542 № ПВИ-3-5.9/02979 от 19.03.15"
"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим.";"250-3-27.12-1154 № ПВИ-3-3.5/01748 от 16.11.12"
"АСД фракция 3 (ASD( )fraction 3)";" 02-3-31.12-2353 № ПВР-3-1.2/00911 от 15.10.14"
"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций";" 840-1-6.15-2712 № ПВИ-1-6.15/04602 от 09.07.15"
