"ВетАС Вид id","ВетАС Вид name","ВетАС Порода id","ВетАС Порода","ВетАС pets_count","AnimalId вид id","AnimalId вид name","AnimalId порода id","AnimalId порода","filter","exclude","Комментарий",,"редактировала ","не нашла в AnimalId"
9,"кошки",112,"сибирская",2407,2,"Кошки",424,"Сибирская","f","f",,,,
9,"кошки",98,"сингапура",38,2,"Кошки",425,"Сингапура","f","f",,,,
9,"кошки",151,"скоттиш страйт",1476,2,"Кошки",429,"Скоттиш-страйт (с обычными ушами)","f","f",,,,
9,"кошки",153,"скоттиш фолд",1383,2,"Кошки",427,"Скоттиш-фолд длинношёрстный","f","f",,,,
9,"кошки",141,"сноу-шу",82,2,"Кошки",430,"Сноу-шу","f","f",,,,
9,"кошки",132,"сомали",92,2,"Кошки",431,"Сомали","f","f",,,,
9,"кошки",104,"сфинкс",750,2,"Кошки",369,"Донской сфинкс","f","f",,,,
9,"кошки",149,"тайская",1304,2,"Кошки",694,"Тайская кошка","f","f",,,,
9,"кошки",100,"тифани",24,2,"Кошки",437,"Тиффани (Бурма длинношёрстная)","f","f",,,,
9,"кошки",142,"тонкинез",40,2,"Кошки",440,"Тонкинез (Tonkinese)","f","f",,,,
9,"кошки",134,"турецкий ван",140,2,"Кошки",442,"Турецкий ван","f","f",,,,
9,"кошки",119,"цейлонская",3,2,"Кошки",452,"Цейлон","f","f",,,,
9,"кошки",102,"шартрез",35,2,"Кошки",454,"Шартрез","f","f",,,,
9,"кошки",155,"шиншилла",190,2,"Кошки",456,"Шиншилла","f","f",,,,
9,"кошки",108,"шотландская вислоухая",7517,2,"Кошки",457,"Шотландская вислоухая длинношёрстная","f","f",,,,
9,"кошки",123,"экзотическая короткошерстная",435,2,"Кошки",458,"Экзотическая короткошёрстная","f","f",,,,
9,"кошки",115,"японский бобтейл",42,2,"Кошки",461,"Японский бобтейл длинношёрстный","f","f",,,,
9,"кошки",,,15546,2,"Кошки",680,"Другая","f","f","какую породу указывать при отуствии у животного породы в ВетАС? ",,,
10,"кролики",158,"аляска",3,60,"Кролик домашний",1567,"Аляска","f","f",,,,
10,"кролики",159,"американский",1,60,"Кролик домашний",2284,"Американский кролик","f","f",,,,
10,"кролики",160,"английский баран",1,60,"Кролик домашний",1572,"Баран английский","f","f",,,,
10,"кролики",162,"ангорский",8,60,"Кролик домашний",1566,"Ангорский кролик","f","f",,,,
10,"кролики",170,"бургундский",1,60,"Кролик домашний",1584,"Бургундский кролик","f","f",,,,
10,"кролики",171,"венский белый",1,60,"Кролик домашний",1595,"Венский белый кролик","f","f",,,,
10,"кролики",174,"венский серый",1,60,"Кролик домашний",1594,"Венский кролик","f","f",,,,
10,"кролики",176,"вислоухий баран",13,60,"Кролик домашний",1571,"Баран","f","f",,,,
10,"кролики",180,"голландский",2,60,"Кролик домашний",1600,"Голландский кролик","f","f",,,,
10,"кролики",183,"заячий",2,60,"Кролик домашний",1603,"Заячий кролик","f","f",,,,
10,"кролики",186,"карликовая бабочка",5,60,"Кролик домашний",1570,"Карликовая бабочка","f","f",,,,
10,"кролики",187,"карликовый баран",3,60,"Кролик домашний",1573,"Баран карликовый","f","f",,,,
10,"кролики",188,"карликовый лисий",3,60,"Кролик домашний",1608,"Карликовый лисий кролик","f","f",,,,
10,"кролики",189,"карликовый рекс",13,60,"Кролик домашний",1632,"Рекс карликовый","f","f",,,,
10,"кролики",192,"крупный баран",2,60,"Кролик домашний",1574,"Баран крупный","f","f",,,,
10,"кролики",195,"марбургская белка",1,60,"Кролик домашний",1579,"Марбургская белка","f","f",,,,
10,"кролики",196,"мардер",2,60,"Кролик домашний",1634,"Рекс мардер","f","f",,,,
10,"кролики",197,"мекленбургский пятнистый",1,60,"Кролик домашний",1610,"Макленбургский пятнистый кролик","f","f",,,,
10,"кролики",198,"мелкая шиншилла",2,60,"Кролик домашний",2300,"Шиншилла мелкая","f","f","в  AnimalID отсутствует порода ",,,
10,"кролики",200,"мелкий пятнистый",1,60,"Кролик домашний",1565,"Английский пятнистый кролик","f","f",,,,
10,"кролики",208,"рекс",3,60,"Кролик домашний",1622,"Рекс (коротковолосый кролик)","f","f",,,,
10,"кролики",210,"русский",2,60,"Кролик домашний",1644,"Русский горностаевый кролик (гималайский кролик)","f","f",,,,
10,"кролики",215,"цветной карлик",5,60,"Кролик домашний",2285,"Цветной карликовый кролик (карлик)","f","f","верно ли выбрана порода?","да",,
10,"кролики",,,111,60,"Кролик домашний",,,"f","f",,,,
11,"крысы",,,122,63,"Грызуны",2146,"Крысы (Rattus)","f","f",,,,
12,"курицы",,,1,3,"Птицы",2147,"Домашняя курица (Gallus gallus domesticus)","f","f",,,,
14,"лошадь",246,"англо-арабская порода",1,4,"Лошади",2286,"Англо-арабская порода","f","f",,,,
14,"лошадь",249,"арабская чистокровная лошадь",2,4,"Лошади",470,"Арабская чистокровная порода","f","f",,,,
14,"лошадь",252,"ахалтекинская лошадь (ахалтекинец)",1,4,"Лошади",474,"Ахалтекинская порода","f","f",,,,
14,"лошадь",267,"буденовская лошадь",5,4,"Лошади",482,"Буденновская порода","f","f",,,,
14,"лошадь",274,"вятская лошадь",1,4,"Лошади",490,"Вятская порода","f","f",,,,
14,"лошадь",276,"ганноверская порода",2,4,"Лошади",493,"Ганноверская порода","f","f",,,,
14,"лошадь",281,"голландская упряжная лошадь",1,4,"Лошади",496,"Голландская упряжная порода","f","f",,,,
14,"лошадь",282,"голштинская лошадь",1,4,"Лошади",497,"Голштинская порода","f","f",,,,
14,"лошадь",315,"латвийская упряжная лошадь",2,4,"Лошади",528,"Латвийская порода","f","f",,,,
14,"лошадь",317,"литовская тяжелоупряжная лошадь",1,4,"Лошади",530,"Литовская тяжелоупряжная порода","f","f",,,,
14,"лошадь",339,"ольденбургская лошадь",2,4,"Лошади",547,"Ольденбургская порода","f","f",,,,
14,"лошадь",340,"орловский pысак",2,4,"Лошади",550,"Орловский рысак","f","f",,,,
14,"лошадь",348,"пони",2,4,"Лошади",501,"Дартмурский пони","f","f",,,,
14,"лошадь",351,"русская рысистая лошадь",3,4,"Лошади",563,"Русская рысистая порода","f","f",,,,
14,"лошадь",352,"русская тяжеловозная лошадь",2,4,"Лошади",564,"Русский тяжеловоз","f","f",,,,
14,"лошадь",370,"тракененская лошадь",7,4,"Лошади",574,"Тракененская порода","f","f",,,,
14,"лошадь",390,"шетландский пони",5,4,"Лошади",597,"Шетландские (шетлендские) пони","f","f",,,,
14,"лошадь",392,"эстонская лошадь",1,4,"Лошади",598,"Эстонская местная порода","f","f",,,,
14,"лошадь",,,12,4,"Лошади",,,"f","f",,,,
15,"морские свинки",399,"абиссинцы",2,63,"Грызуны",2153,"Морская свинка (Абиссинская)","f","f",,,,
