ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
46;ООО «Мобидок»;Юго-Восточный административный округ;Нижегородский район;город Москва, 2-я Карачаровская улица, дом 6/16;77-09-341;01.01.2040;;903871643
49;Валента;Юго-Восточный административный округ;район Люблино;город Москва, Краснодарская улица, дом 57, корпус 1;77-09-311;17.04.2042;;903871646
50;Ветер-Ок;Юго-Восточный административный округ;район Текстильщики;город Москва, улица Шкулёва, дом 5;77-09-248;03.05.2040;;903871671
51;Время Вет;Юго-Восточный административный округ;район Марьино;город Москва, Братиславская улица, дом 32;77-09-004;16.03.2023;;903871672
52;ПетРус;Юго-Восточный административный округ;район Люблино;Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 16А;77-09-019;07.06.2041;;903871673
53;«Артемида» Ветеринарное общество;Юго-Восточный административный округ;район Марьино;город Москва, Марьинский бульвар, дом 7;77-09-018;07.10.2038;;903871674
54;НПП Мосзооветснаб;Юго-Восточный административный округ;Южнопортовый район;город Москва, 5-я Кожуховская улица, дом 16;77-09-020;19.04.2045;;903871675
55;ВетВелс;Юго-Восточный административный округ;район Лефортово;город Москва, Самокатная улица, дом 2А, строение 1;77- 09-168;15.02.2041;;903871678
56;Ветеринарный пункт Лидер Вет;Юго-Восточный административный округ;Рязанский район;город Москва, улица Васильцовский Стан, дом 5, корпус 2;77- 09-118;16.12.2044;;903871680
58;ФГБНУ ВИЭВ;Юго-Восточный административный округ;Рязанский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 24, корпус 1;77-09-057;12.09.2040;;903871744
59;Инновет;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, улица Генерала Кузнецова, дом 12;77- 09-164;12.12.2040;;903871884
61;ВЕЛЕС;Юго-Восточный административный округ;район Текстильщики;город Москва, 11-я улица Текстильщиков, дом 7;77-09-167;19.10.2040;;903872069
63;Ветеринарный центр «Доверие»;Юго-Восточный административный округ;район Некрасовка;город Москва, улица Льва Яшина, дом 9;77-09-458;01.01.2040;;903872219
64;ООО «Санта-Вет»;Юго-Восточный административный округ;район Марьино;город Москва, Люблинская улица, дом 171, корпус 1А;77-09-436;07.03.2040;;903872297
65;ООО «МиГ»;Северо-Восточный административный округ;район Ростокино;город Москва, Сельскохозяйственная улица, дом 16А, строение 3;77-05-091;23.11.2040;;903872355
66;Ахилл;Северо-Восточный административный округ;район Бибирево;город Москва, Белозерская улица, дом 17Г;77-05-079;06.12.2040;;903872375
67;Кот Филимон;Северо-Восточный административный округ;район Отрадное;город Москва, Каргопольская улица, дом 18, строение 1;77-05-303;19.03.2042;;903872396
68;Зооцентр Марфино;Северо-Восточный административный округ;район Марфино;Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, Ботаническая улица, дом 19, корпус 2;77- 05-193;12.12.2041;;903872410
69;Веттест;Северо-Восточный административный округ;район Марьина Роща;город Москва, улица Сущёвский Вал, дом 5, строение 15;77- 05-204;15.03.2040;;903872430
70;Ветеринарный центр «ВетПоинт»;Северо-Восточный административный округ;Бутырский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1, строение 5;77-05-258;19.04.2045;;903872486
71;Ветпомощь Оберег;Северо-Восточный административный округ;район Лианозово;город Москва, Илимская улица, дом 5;77-05-055;26.12.2040;;903872523
72;КИБЕЛА;Северо-Восточный административный округ;Алексеевский район;город Москва, проспект Мира, дом 186, корпус 1;77-05-115;12.07.2022;;903872542
73;Тим 99;Северо-Восточный административный округ;район Марфино;Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, Большая Марфинская улица, дом 4А;77-05-336;14.03.2041;;903872551
74;Клиника в Северном МиСта;Северо-Восточный административный округ;район Северный;город Москва, Челобитьевское шоссе, дом 10, корпус 1;77-05-369;12.12.2040;;903872552
75;АкваЗооВетЦентр ПЛЮС;Северо-Восточный административный округ;Останкинский район;город Москва, проспект Мира, дом 95, строение 2;77- 05-210;09.05.2040;;903872553
76;Тамсан;Северо-Восточный административный округ;район Отрадное;город Москва, Северный бульвар, дом 7Б;77-05-392;01.01.2040;;903872554
77;МОВЕТ;Западный административный округ;район Филёвский Парк;город Москва, улица Василисы Кожиной, дом 23;77-03-048;14.03.2040;;903872656
78;Крылатская Ветеринарная Клиника;Западный административный округ;район Крылатское;город Москва, Осенняя улица, дом 23;77-03-077;10.05.2040;;903872658
79;Клиника ветеринарной медицины «Лебеди»;Западный административный округ;район Тропарёво-Никулино;Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 2;77-03-083;12.09.2045;;903872661
80;ПКФ «МЕДЕЯ»;Западный административный округ;район Ново-Переделкино;город Москва, Чоботовская улица, дом 17, корпус 1;77- 03-162;12.12.2040;;903872665
81;АЛЫЙ ПЕС;Западный административный округ;район Очаково-Матвеевское;город Москва, Веерная улица, дом 3, корпус 3;77-03-183;13.06.2046;;903872706
82;Медвет;Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 89, корпус 6;77-10-233;27.04.2040;;903872837
83;ветеринарная клиника «СанаВет»;Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 9;77-10-040;20.12.2040;;903872839
84;Чеширский кот;Западный административный округ;район Кунцево;город Москва, Полоцкая улица, дом 8;77-03-368;21.12.2045;;903873166
85;ООО «БЕЛАДОННА»;Западный административный округ;район Очаково-Матвеевское;город Москва, Рябиновая улица, дом 69, строение 1;77-03-009;03.03.2022;;903873169
87;ГБУК «Театр кошек Куклачева»;Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 25;77-03-433;12.02.2023;;903873176
88;ООО «Доктор Панда»;Западный административный округ;район Тропарёво-Никулино;город Москва, улица 26-ти Бакинских Комиссаров, дом 12, корпус 2;77-03-457;01.01.2040;;903873197
89;Ветеринарная клиника «Центр»;Центральный административный округ;Тверской район;город Москва, Цветной бульвар, дом 11, строение 1;77-07-025;15.03.2040;;903873279
90;«Сопико и Ко»;Центральный административный округ;Тверской район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Достоевского, дом 3;77-07-468;17.04.2041;;903873280
91;«Альта-Вита»;Центральный административный округ;Басманный район;город Москва, Рубцовская набережная, дом 4, корпус 3;77- 07-214;29.05.2040;;903873283
92;Ветеринарная клиника «ЭлитаВет»;Центральный административный округ;Таганский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Новорогожская улица, дом 6, строение 1;77-07-366;12.12.2045;;903873289
93;Ветеринарная клиника «Чеширский кот»;Центральный административный округ;Басманный район;город Москва, Большая Почтовая улица, дом 34, строение 12;77-07-345;14.06.2046;;903873292
95;Альбетта;Северный административный округ;Войковский район;город Москва, улица Клары Цеткин, дом 31;77-04-021;19.12.2040;;903873348
96;Респект;Северный административный округ;Головинский район;город Москва, Смольная улица, дом 10, строение 2;77-04-026;01.01.2040;;903873349
97;ЗООЦЕНТР ГРУМИНГ СЕРВИС;Северный административный округ;район Коптево;город Москва, 3-й Михалковский переулок, дом 15;77-04-027;15.10.2042;;903873350
98;БИЛЛЛ;Северный административный округ;район Восточное Дегунино;город Москва, Дубнинская улица, дом 32;77-04-042;31.03.2022;;903873351
99;Зоовет;Северный административный округ;Хорошёвский район;город Москва, 2-я Магистральная улица, дом 16, строение 7;77-04-061;11.04.2022;;903873353
100;Игуана;Северный административный округ;район Ховрино;город Москва, Смольная улица, дом 26;77-04-096;23.05.2022;;903873354
101;Шанс-ВЕТ;Северный административный округ;район Сокол;город Москва, улица Панфилова, дом 6Б;77- 04-130;22.11.2040;;903873355
102;Рыжий лис;Северный административный округ;район Ховрино;город Москва, Петрозаводская улица, дом 34;77- 04-131;12.11.2019;;903873382
103;Ветлайф;Северный административный округ;Бескудниковский район;город Москва, Бескудниковский бульвар, дом 12;77- 04-327;16.02.2040;;903873463
104;ЗЕВС-ВЕТ;Северный административный округ;Хорошёвский район;город Москва, улица Полины Осипенко, дом 10, корпус 1;77-04-275;18.06.2040;;903873481
