Текущий вид;Текущая порода;Новый вид;Новая порода;id_species;id_breed;
лошадь;ольденбургская лошадь;Лошади;Ольденбургская порода;14;339;
лошадь;орловский pысак;Лошади;Орловский рысак;14;340;
лошадь;пони;Лошади;Дартмурский пони;14;348;
лошадь;русская рысистая лошадь;Лошади;Русская рысистая порода;14;351;
лошадь;русская тяжеловозная лошадь;Лошади;Русский тяжеловоз;14;352;
лошадь;тракененская лошадь;Лошади;Тракененская порода;14;370;
лошадь;шетландский пони;Лошади;Шетландские (шетлендские) пони;14;390;
лошадь;эстонская лошадь;Лошади;Эстонская местная порода;14;392;
лошадь;;Лошади;;14;;
морские свинки;американский крестед;Грызуны;Морская свинка (Американский крестед);15;402;
морские свинки;английский крестед;Грызуны;Морская свинка (Английский крестед);15;403;
морские свинки;гималайцы;Грызуны;Морская свинка (Гималайцы);15;405;
морские свинки;двухцветные;Грызуны;Морская свинка (Двухцветные);15;407;
морские свинки;коронет;Грызуны;Морская свинка (Коронет);15;408;
морские свинки;мерино;Грызуны;Морская свинка (Мерино);15;410;
морские свинки;рекс;Грызуны;Морская свинка (Рекс);15;1121;
морские свинки;скинни;Грызуны;Морская свинка (Скинни);15;417;
морские свинки;трехцветные;Грызуны;Морская свинка (Трёхцветные);15;420;
морские свинки;чалые;Грызуны;Морская свинка (Чалые);15;421;
морские свинки;шелти;Грызуны ;Морская свинка (Шелти);15;422;
морские свинки;;Грызуны;Морская свинка (Cavia porcellus);15;;
насекомые энтомофаги;;Насекомые энтомофаги;;32;;
паукообразные;;Паукообразные;;17;;
попугай;волнистый попугай;Птицы;Волнистый попугайчик (Melopsittacus undulatus);20;459;
попугай;жако;Птицы;Жако, серый попугай (Psittacus erithacus);20;464;
попугай;какарики (cyanoramphus);Птицы;Какарики, Антиподский прыгающий попугай (Cyanoramphus unicolor);20;544;
попугай;мускусные лорикеты (glossopsitta);Птицы;Мускусный лорикет (Glossopsitta concinna);20;519;
попугай;неразлучники (agapornis);Птицы;Неразлучники (Agapornis);20;530;
попугай;нимфа или карелла (nymphicus);Птицы;Корелла (Nymphicus hollandicus);20;532;
попугай;;Птицы;Попугай;20;;
птицы;ворон;Птицы;Ворон (Corvus corax);21;560;
птицы;;Птицы;;21;;
рептилии;;Рептилии;;22;;
собаки;австралийская борзая, кенгуровая;Собаки;Австралийская борзая (Кенгуровая собака);25;702;
собаки;австралийская овчарка;Собаки;АВСТРАЛИЙСКАЯ ОВЧАРКА ;25;602;
собаки;австралийский терьер;Собаки;АВСТРАЛИЙСКИЙ ТЕРЬЕР ;25;601;
собаки;азавак;Собаки;Азавак;25;703;
собаки;аиди, атласская овчарка;Собаки;Аиди (атласская овчарка);25;704;
собаки;айну;Собаки;Хоккайдо;25;705;
собаки;акбаш;Собаки;Акбаш;25;706;
собаки;акита ину;Собаки;Акита-Ину;25;686;
собаки;акита-ину;Собаки;Акита-Ину;25;1034;
собаки;Акита - ину;Собаки;Акита-Ину;25;1153;
собаки;алабай;Собаки;Среднеазиатская овчарка;25;1035;
собаки;альпийский спаниель;Собаки;КЛАМБЕР СПАНИЕЛЬ ;25;708;
собаки;аляскинский маламут;Собаки;АЛЯСКИНСКИЙ МАЛАМУТ ;25;687;
собаки;американский бульдог;Собаки;Американский бульдог;25;681;
собаки;американский водяной спаниель;Собаки;Американский водяной спаниель;25;688;
собаки;американский кокер спаниель;Собаки;АМЕРИКАНСКИЙ КОКЕР СПАНИЕЛЬ ;25;710;
собаки;американский питбультерьер;Собаки;Американский питбультерьер;25;695;
собаки;американский стафордшир-терьер;Собаки;Американский Стаффордширский Терьер;25;711;
собаки;американский той-фокстерьер;Собаки;Той-фокстерьер;25;713;
собаки;американский фоксхаунд;Собаки;Американский фоксхаунд;25;712;
собаки;американский эскимоский шпиц;Собаки;Американский эскимосский шпиц;25;689;
собаки;анатолийский карабаш;Собаки;Кобан кёпежи (анатолийская овчарка);25;714;
собаки;английская овчарка;Собаки;Английская овчарка;25;715;
собаки;английский бульдог;Собаки;Английский бульдог;25;585;
собаки;английский водяной спаниель;Собаки;Английский водяной спаниель;25;716;
собаки;английский кокер спаниель;Собаки;АНГЛИЙСКИЙ КОКЕР СПАНИЕЛЬ ;25;580;
собаки;английский мастиф;Собаки;Английский мастиф (English Mastiff);25;717;
собаки;английский пойнтер;Собаки;ПОЙНТЕР ;25;659;
собаки;английский сеттер;Собаки;АНГЛИЙСКИЙ СЕТТЕР ;25;589;
собаки;английский спрингер-спаниель;Собаки;АНГЛИЙСКИЙ СПРИНГЕР СПАНИЕЛЬ ;25;626;
собаки;английский той-терьер;Собаки;АНГЛИЙСКИЙ ТОЙ ТЕРЬЕР (ЧЕРНО-ПОДПАЛЫЙ) ;25;718;
собаки;аппенцеллер;Собаки;Аппенцеллер зенненхунд;25;720;
собаки;аргентинский дог;Собаки;Аргентинский дог;25;1036;
собаки;артезиано-нормандский бассет;Собаки;Артезиано-нормандский бассет;25;724;
собаки;арьежская гончая;Собаки;Арьежуа;25;726;
собаки;афганская борзая;Собаки;АФГАНСКАЯ БОРЗАЯ ;25;1037;
собаки;афганская гончая;Собаки;АФГАНСКАЯ БОРЗАЯ ;25;685;
собаки;аффенпинчер;Собаки;АФФЕНПИНЧЕР ;25;727;
собаки;баварская горная гончая;Собаки;Баварская следовая гончая;25;728;
собаки;балканская гончая;Собаки;Сербский гонич;25;992;
собаки;барбе;Собаки;Барбе;25;730;
собаки;басенджи;Собаки;БАСЕНДЖИ ;25;603;
собаки;баскетмейкер;Собаки;Баскетмейкер;25;732;
собаки;бассетхаунд;Собаки;БАССЕТ ХАУНД ;25;733;
собаки;беардед колли (хайланд колли);Собаки;БОРОДАТАЯ КОЛЛИ ;25;606;
собаки;бедлингтон терьер;Собаки;БЕДЛИНГТОН ТЕРЬЕР ;25;607;
собаки;белый английский терьер;Собаки;Белый английский терьер;25;734;
собаки;бельгийская лакенуа;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (лакенуа) ;25;997;
собаки;бельгийская малинуа;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (малинуа) ;25;608;
собаки;бельгийский гриффон;Собаки;Бельгийский гриффон;25;736;
собаки;бельгийский грюнендаль;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (грюнендаль) ;25;1021;
собаки;бельгийский тервюрен;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (тервюрен) ;25;610;
собаки;бергамаско, бергамская овчарка;Собаки;Бергамаскер;25;739;
собаки;бернский зенненхунд;Собаки;БЕРНСКИЙ ЗЕННЕНХУНД ;25;1015;
собаки;беспородная;Собаки;Беспородная;25;1045;
собаки;бигль;Собаки;БИГЛЬ ;25;605;
собаки;бишон фризе;Собаки;БИШОН ФРИЗЕ ;25;577;
собаки;бладхаунд;Собаки;Бладхаунд (шьен де сен-юбер);25;612;
собаки;блю лейси;Собаки;Блю-лейси (blue lacy);25;742;
собаки;бобтейл, староанглийская овчарка;Собаки;СТАРОАНГЛИЙСКАЯ ОВЧАРКА (бобтейл) ;25;654;
собаки;боксёр;Собаки;НЕМЕЦКИЙ БОКСЕР ;25;574;
собаки;Болонка;Собаки;Болонка;25;1157;
собаки;болонский бишон;Собаки;Болонский Бишон (Болоньез);25;744;
собаки;большая голубая гасконская гончая;Собаки;Большая голубая гасконская гончая;25;746;
собаки;большая древесная гончая;Собаки;Большая древесная гончая;25;747;
собаки;большая пиринейская собака;Собаки;ПИРЕНЕЙСКАЯ ГОРНАЯ СОБАКА ;25;632;
собаки;большая швейцарская горная пасту;Собаки;Большой швейцарский зенненхунд;25;749;
собаки;большой вандейский гриффон;Собаки;БОЛЬШОЙ ВАНДЕЙСКИЙ БАССЕТ-ГРИФОН ;25;750;
