МИКРО-ПЛЮС ЗАО (Россия)
VETOQUINOL S.A. (Франция)
НИТА-ФАРМ ООО (Россия)
ORION CORPORATION (Финляндия)
БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)
РАБОС Интернешнл ООО (Россия)
ЭЛАНКО РУС ООО (Россия)
KRKA d.d., Novo Mesto (Словения)
VETOQUINOL Biovet S.p. z.o.o. (Польша)
МОСАГРОГЕН ЗАО (Россия)
ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)
АРМАВИРСКАЯ БИОФАБРИКА ФКП (Россия)
ZOETIS Inc. (США)
Eurovet Animal Health BV (Нидерланды)
Beaphar Eastern Europe s.r.o. (Чешская Республика)
B&S Corporation Co. Ltd. (Япония)
BOEHRINGER INGELHEIM VETMEDICA GmbH (Германия)
ЮПИТЕР ООО (Россия)
BEAPHAR B.V. (Нидерланды)
НАНОБИОТЕХ ООО (Россия)
АЛВИТА ООО (Россия)
НПЦ БелАгроГен ООО (Республика Беларусь)
НТЦ БиоИнвест ООО (Россия)
БЕЛКОМ ООО (Россия)
TETRA GmbH (Германия)
"ООО НПФ ""Исследовательский центр"" (Россия)"
ПЕПТЕК АО (Россия)
Национальная Исследовательская Компания (Россия)
НПП БИОНОКС ООО (Россия)
ФАРМАСОФТ НПК ООО (Россия)
ГАМАВЕТФАРМ ООО (Россия)
CID LINES NV/SA (Бельгия)
NOVARTIS SANTE ANIMALE S.A.S. (Франция)
CATALENT GERMANY EBERBACH GmbH (Германия)
ZOETIS INDUSTRIA DE PRODUTOS VETERINARIOS Ltda. (Бразилия)
ZOETIS MANUFACTURING & RESEARCH SPAIN S.L. (Испания)
LABORATORIOS PFIZER Ltda (Бразилия)
PFIZER ITALIA S.r.l. (Италия)
FRIULCHEM S.p.A. (Италия)
BOEHRINGER INGELHEIM VETMEDICA, S.A. de C.V. (Мексика)
BOEHRINGER INGELHEIM VETMEDICA, Inc. (США)
KLOCKE PHARMA-SERVICE GmbH (Германия)
BOEHRINGER INGELHEIM PROMECO, S.A. de C.V. (Мексика)
ЭКОХИМТЕХ ООО (Россия)
8 in 1 Pet Products GmbH (Германия)
LABIANA LIFE SCIENCES S.A. (Испания)
НВЦ Агроветзащита С-П (Россия)
ELANCO FRANCE SAS (Франция)
DOTTIKON EXCLUSIVE SYNTHESIS AG (Швейцария)
ZOETIS BELGIUM S.A. (Бельгия)
ZOETIS MEDOLLA MANUFACTURING S.R.L. (Италия)
ZOETIS P&U LCC (США)
FAREVA AMBOISE (Франция)
таблетки ЗиО-Здоровье ЗАО (Россия)
ВЕТОКИНОЛ С.А. (Франция)
ОРИОН КОРПОРЕЙШН (Финляндия)
КРКА, фармацевтический завод, д.д., Ново место АО (Словения)
"Завод ""Ветеринарные препараты"" АО (Россия)"
Торговый Дом Гудмэн ООО (Россия)
ЗОЭТИС Инк. (США)
БИФОР ПЛЮС ООО (Россия)
Би энд Эс Корпорейшн Ко. Лтд. (Япония)
БЕРИНГЕР ИНГЕЛЬХАЙМ ООО (Россия)
"НПФ ""Исследовательский центр"" ООО (Россия)"
Национальная исследовательская компания ООО (Россия)
БИОНОКС НПП ООО (Россия)
ВЕКТОРФАРМ ООО (Россия)
