"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"натрия хлорид, моноэтаноламин, вода д/и."
"ЭНРОНИТ® (ENRONIT) раствор д/инъекций";"уксусная кислота - 55 мг, аммония ацетат - 1.3 мг, вода д/и - до 1 мл."
"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор";"стабилизатор и растворители - до 100%."
"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения";"сольвессо 200, 2-октилдодеканол, парафин жидкий."
"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";"бутилгидрокситолуол, спирт бензиловый, алюминия моностеарат, масло подсолнечное или оливковое."
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";"натрия салицилат, натрия гидроксид, вода д/и."
"ФЛОРОКС® (FLOROX) раствор д/инъекций";"пропиленгликоль 400 - 300 мг, диметилсульфоксид - 150 мг, полиэтиленгликоль - до 1 мл."
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";"натрия метабисульфит, хлорэтон, лимонная кислота (для коррекции рН), вода дистиллированная."
"СТРОЛИТИН® (STROLITINE) раствор";"магния сульфат - 250 мг, сорбитол - 250 мг, вода дистиллированная - до 1 мл."
"СЕПРАНОЛ (SEPRANOL)";"кальция стеарат - 0.1 г, натрия карбонат - 3 г, лимонная кислота - 3 г, полиэтиленгликоль - 0.1 г, маннит - 2 г, поливинилпирролидон - 0.12 г, краситель (метиловый оранжевый) - 0.01 г, лактоза - до 10 г."
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";"магния оксид, N,N-диметилацетамид, ронгалит (формальдегидсульфоксилат натрия), моноэтаноламин, вода дистиллированная."
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"N,N-диметилацетамид - 575 мг, бензиловый спирт - 11.5 мг, бензойная кислота - 16.1 мг, натрия гидроксид - до pH 6.5, вода дистиллированная - до 1 мл."
"МАСТОМИЦИН® (MASTOMICIN)";"полоксамер 407, полиоксиэтилен-35-рицинол, глицерол, бензиловый спирт, вода дистиллированная."
"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций";"натрия гидроксид, бензиловый спирт, пропиленгликоль."
"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор";"вспомогательные вещества - до 100%."
"ДОКСИЛОКС OR (DOXYLOX OR)";"спирт бензиловый - 10 мг, пропиленгликоль - до 1 мл."
"ДИТРИМ® (DITRIM®) раствор д/инъекций";"2-пирролидон, бензиловый спирт, натрия тиосульфат, динатриевая соль ЭДТА, вода д/и."
"БУТОФАН® (BUTOFAN) раствор д/инъекций";"метил-4-гидроксибензоат, вода д/и."
"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций";"бутилгидрокситолуол - 2 мг, бензиловый спирт - 10 мг, алюминия моностеарат - 15 мг, масло растительное - до 1 мл."
"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций";"сорбитана моноолеат - 6 мг, пропиленгликоля дикаприлат/дикапрат - до 1 мл."
"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)";"пропиленгликоль - 0.3 мл, метилцеллюлоза - 1.5 мг, пропиленгликоля дикаприлат/дикапрат - 0.04 мл, токоферола ацетат - 0.6 мг, хлорофилл - 0.2 мг, нипагин - 3 мг, нипазол - 0.3 мг, трилон Б - 1 мг, вода д/и - до 1 мл."
"СТАРТИН-ФИТО (STARTINUM-FITO)";"натрия карбоксиметилцеллюлоза (бланоза) - 220 г."
"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения";"воск пчелиный или вощина - 8 г, мел химически осажденный - 10 г, масло индустриальное - до 100 г."
"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"ланолин - 1 г, вазелин медицинский или ветеринарный - до 100 г."
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"калия йодид - 4 г, ланолин - 15 г, вазелин - до 100 г."
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"салициловая кислота - 5 г, креолин бесфенольный каменноугольный (лизол) - 5 г, скипидар - 2 г, деготь - 5 г, ланолин - 18 г, вазелин - 40 г, вода дистиллированная - до 100 г."
"ЛЕРСИН® (LERSINUM) порошок";"калий хлористый - 2 г, кальция лактат (или кальция ацетат) - 10 г."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%";"креолин бесфенольный каменноугольный - до 100%."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%";"креолин бесфенольный каменноугольный - до 100%."
"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения";"этанол - 70%, краситель пищевой синтетический, вода."
"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)";"калия йодид - 0.08%, калия йодат - 0.12%, хлороводородная кислота - 2.6%, триэтиленгликоль - до 100%."
"ЙОДИНОКОЛЬ (IODINOKOLUM)";"калия йодид - 0.5%, поливиниловый спирт - 1%, триэтиленгликоль - 10%, молочная кислота - 15%, вода - до 100%."
"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения";"вода - до 100%."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%";"канифоль - 1.5%, живица - 1.5%, поверхностно-активное вещество (ОП-7 или ОП-10) - 12.5%, неонол - 12.5%, нефрас - до 100%."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%";"канифоль - 1.5%, живица - 1.5%, поверхностно-активное вещество (ОП-7 или ОП-10) - 12.5%, неонол - 12.5%, нефрас - до 100%."
"БУТОФАН® OR (BUTOFAN OR) раствор";"метил-4-гидроксибензоат - 1 мг, вода дистиллированная - до 1 мл."
"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций";"бутилгидрокситолуол - 2 мг, пропиленгликоля дикаприлат/дикапрат - до 1 мл."
