"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"натрия хлорид, моноэтаноламин, вода д/и."
"ВОЛЬВАК® AE+FP MLV (VOLVAC® AE+FP MLV) лиофилизат д/пригот. р-ра д/инъекций";"стабилизатор 0.0037 мл (обезжиренное молоко (125 мг/мл), дигидрофосфат натрия (0.6 мг/мл), NZ-Амин (тип AS) (25 мг/мл), гидрофосфат калия (1.6 мг/мл), сахароза (87.5 мг/мл), глутамат натрия (1.4 мг/мл), сорбитол (37.5 мг/мл), растворенные в воде для инъекций), раствор гентамицина сульфата (0.00005 мл), раствор пенициллин-стрептомицина (0.00005 мл) в качестве консервантов в одной прививной дозе. Вакцина поставляется со специальным стерильным разбавителем ""Вольвак® FP"" (Volvac® FP): стерильный фосфатно-буферный раствор (pH 7.0-7.8) с добавлением глицерина (295 мг/мл), хлорида натрия (8 мг/мл), гидрофосфата калия (1.6 мг/мл), дигидрофосфата калия (0.18 мг/мл), красителя Orange Color, воды д/и (до 1 мл)."
"ЭНТЕРИЗОЛ® ИЛЕИТИС (ENTERISOL® ILEITIS)";"сахароза и желатин в качестве стабилизаторов; разбавитель - стерильная дистиллированная вода."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 1.25 мг";"лимонная кислота безводная - 72.5 мг, целлюлоза микрокристаллическая - 20 мг, кремний коллоидный безводный - 4.25 мг, повидон - 1.5 мг, магния стеарат - 0.5 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 2.5 мг";"лимонная кислота безводная - 145 мг, целлюлоза микрокристаллическая - 40 мг, кремний коллоидный безводный - 8.5 мг, повидон - 3 мг, магния стеарат - 1 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 5 мг";"лимонная кислота безводная - 206.5 мг, целлюлоза микрокристаллическая - 40 мг, кремний коллоидный безводный - 11 мг, повидон - 4 мг, магния стеарат - 1.5 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 10 мг";"лимонная кислота безводная - 413 мг, целлюлоза микрокристаллическая - 80 мг, кремний коллоидный безводный - 22 мг, повидон - 8 мг, магния стеарат - 3 мг."
"ВЕТМЕДИН® (VETMEDIN®) 1.25 мг";"лимонная кислота безводная, кроскармеллоза натрия, крахмал маисовый, лактозы моногидрат, повидон 25, мясная вкусовая добавка, кремний коллоидный безводный, магния стеарат."
"ВЕТМЕДИН® (VETMEDIN®) 2.5 мг";"лимонная кислота безводная, кроскармеллоза натрия, крахмал маисовый, лактозы моногидрат, повидон 25, мясная вкусовая добавка, кремний коллоидный безводный, магния стеарат."
"ВЕТМЕДИН® (VETMEDIN®) 5 мг";"лимонная кислота безводная, кроскармеллоза натрия, крахмал маисовый, лактозы моногидрат, повидон 25, мясная вкусовая добавка, кремний коллоидный безводный, магния стеарат."
"ХЕЛАВИТ РАСТВОР ДЛЯ ИНЪЕКЦИЙ (HELAVITUM SOLUTION PRO INJECTIONIBUS) раствор д/инъекций";"бензиловый спирт (консервант), вода д/и."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ КОШЕК (BEAPHAR FLEA & TICK COLLAR FOR CAT)";"смесь поливинилхлоридная ""С натурель"" - 82.1%, масло соевое эпоксидированное - 1.4%, бария лаурат - 0.6%, масло мятное - 0.8%, краситель руспринтекс (Е153) или эритрозин Л (Е127) - 0.1%."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ СОБАК (BEAPHAR FLEA & TICK COLLAR FOR DOG)";"смесь поливинилхлоридная ""С натурель"" - 82.1%, масло соевое эпоксидированное - 1.4%, бария лаурат - 0.6%, масло мятное - 0.8%, краситель руспринтекс (Е153) или эритрозин Л (Е127) - 0.1%."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ СОБАК И КОШЕК С.О.С. (BEAPHAR FLEA & TICK COLLAR FOR DOG AND CAT S.O.S.)";"смесь поливинилхлоридная - 85.8%."
"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 50 мг";"бутанол, калия гидроксид, вода д/и."
"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 100 мг";"бутанол, калия гидроксид, вода д/и."
"ЭНДОМЕТРАМАГ-БИО® (ENDOMETRAMAG-BIO)";"вода д/и."
"ЦИПРОМАГ®-О (CIPROMAG-O)";"пропиленгликоль, бутанол, динатриевая соль этилендиаминтетрауксусной кислоты, вода д/и."
"ЦЕФТИМАГ® (CEFTIMAG) сусп. д/инъекций";"метиловый эфир параоксибензойной кислоты - 1.8 мг, пропиловый эфир параоксибензойной кислоты - 0.2 мг, пропиленгликоля дикаприлат (дикапрат) - до 1 мл."
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 500";"калия фосфат однозамещенный, натрия фосфат двузамещенный."
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 1000";"калия фосфат однозамещенный, натрия фосфат двузамещенный."
"СУПРИМИЦИН® (SUPRIMYCIN) раствор д/инъекций";"поливинилпирролидон - 80 мг, моноэтаноламин - 0.08 мл, вода д/и - 0.25 мл, монопропиленгликоль - до 1 мл."
"ПИГУЛИН® (PIGULIN®) 1 доза";"глицин - 5 мг, калия фосфат однозамещенный - 0.63 мг, натрия фосфат двузамещенный - 0.29 мг."
"ПИГУЛИН® (PIGULIN®) 5 доз";"глицин - 10 мг, калия фосфат однозамещенный - 1.26 мг, натрия фосфат двузамещенный - 0.58 мг."
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 5 доз";"реополиглюкин - 0.5 мг, натрия фосфат двузамещенный - 0.145 мг, калия фосфат однозамещенный - 0.01 мг, вода д/и до 1 мл."
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 10 доз";"реополиглюкин - 0.5 мг, натрия фосфат двузамещенный - 0.145 мг, калия фосфат однозамещенный - 0.01 мг, вода д/и до 1 мл."
"МЕТРАМАГ® (METRAMAG) раствор д/инъекций";"пропиленгликоль - 100 мл, трилон Б - 1 г, нипагин - 2.1 г, нипазол - 0.3 г, вода д/и - до 1000 мл."
"МАГЭСТРОФАН® (MAGESTROFAN) раствор д/инъекций";"вода д/и."
"МАГКОЛИСТИН® (MAGCOLISTIN) раствор д/перорального применения";"трилон Б, нипагин, вода д/и."
"КОМУЛИН (COMULIN) раствор д/инъекций";"пропиленгликоль, вода д/и."
"ДОКСИМАГ®-О (DOXYMAG-O)";"поливинилпирролидон - 50 мг, моноэтаноламин - 0.005 мл, магния хлорид (или магния оксид) - 90 мг, вода д/и - до 1 мл."
"БРОМКОЛИН®-О (BROMCOLIN-O) раствор д/перорального применения";"пропиленгликоль - 80 мг, поливинилпирролидон - 50 мг, нипагин - 1.8 мг, вода д/и - до 1 мл."
"БАКТИМАГ-О® (BACTIMAG-O) раствор д/перорального применения";"уксусная кислота - 35 мг, трилон Б - 1 мг, монопропиленгликоль - 200 мг, вода д/и - 1 мл."
"АЦИЛОМАГ® (ACILOMAG) сусп. д/инъекций";"алюминия стеарат - 5 мг, бензилбензоат - 50 мг, метиловый эфир параоксибензойной кислоты - 1.8 мг, пропиловый эфир параоксибензойной кислоты - 0.2 мг, пропиленгликоля дикаприлат (дикапрат) - до 1 мл."
"АМОКСИМАГ® (AMOXIMAG) сусп. д/инъекций";"алюминия стеарат, нипагин, нипазол, масло кокосовое фракционированное."
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.001%";"тетрагидридоборат - 7 мкг, вода д/и - до 1 мл."
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.005%";"тетрагидридоборат - 35 мкг, вода д/и - до 1 мл."
"ЭЛЬВИТА-УДИВИТ (ALVITA-UDIVIT)";"5% водный раствор декстрозы (глюкозы) - до 1000 мл."
"УТЕРОФУР (UTEROFUR) сусп. д/инъекций";"основа - до 10 см(3)."
"ПЕНОЦЕФУР (PENOCEFUR)";"пенообразующая основа - до 10 г."
"ИНТЕРФЕРОН СВИНОЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT PORCINE INTERFERON) раствор д/инъекций";"Действующие вещества растворены в неионогенном растворителе с добавлением стабилизаторов."
"ИНТЕРФЕРОН БЫЧИЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT BOVINE INTERFERON) раствор д/инъекций";"Действующие вещества растворены в неионогенном растворителе с добавлением стабилизаторов."
"ФЕЛИФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (SOLUTIO FELIFERONI PRO INJECTIONIBUS) раствор д/инъекций";"уксусная кислота ледяная - около 0.0045 мл (до установления pH от 4.5 до 5), натрия ацетат - 1.64 мг, натрия хлорид - 5.84 мг, полисорбат 20 - 0.1 мг, натриевая соль ЭДТА - 0.07 мг, декстран 40 - 50 мг, вода д/и - до 1 мл."
"8 В 1 ЭКСЕЛЬ ДЕТЕР (8 IN 1 EXCEL DETER) таб.";"перец острый, диоксид кремния, магния стеарат - до 100%."
"МЕТАКАМ® (METACAM®) раствор д/инъекций";"этанол - 150 мг, полиэтиленгликоль 300 - 150 мг, этилендиаминтетрауксусная кислота - 1 мг, вода д/и - до 1 мл."
"КУСТОВАК® D (CUSTOVAC® D)";"наполнитель - до 100 г (натрия хлорид - 14.66%, кремния диоксид - 13.17%, магния стеарат - 13.17%)."
"ИНГЕЛЬВАК® АУЕСКИ MLV (INGELVAC® AUJESZKY MLV)";"растворитель - стерильная дистиллированная вода."
"ИНГЕЛЬВАК® HP-1 (INGELVAC® HP-1)";"формалин - (0.5% по объему), монтанид ISA 206 (45-55% по объему) и изотонический раствор хлорида натрия."
"ИНГЕЛЬВАК® APPX (INGELVAC® APPX)";"формалин (0.2% по объему), гидроокись алюминия (0.5% по объему) и изотонический раствор хлорида натрия - до 2 мл."
"ИНГЕЛЬВАК ЦиркоФЛЕКС® (INGELVAC CircoFLEX®)";"адъювант - 1 мг карбомера в изотоническом растворе хлорида натрия."
"ИНГЕЛЬВАК МикоФЛЕКС® (INGELVAC MycoFLEX®)";"формальдегид, вспомогательный компонент - карбомер, изотонический раствор хлорида натрия."
"ВОЛЬВАК® АС Плюс+ND+IB+EDS KV (VOLVAC® AC Plus+ND+IB+EDS KV)";"формалин (0.432 мг), в качестве адъюванта минеральные масла (265.48 мг), пропиленгликоль (4.144 мг), консервант - тиомерсал (0.05 мг) и вода д/и (до 0.5 мл)."
"ВОЛЬВАК® АС Плюс (VOLVAC® AC Plus)";"формалин (0.432 мг), в качестве адъюванта минеральное масло (234.402 мг), пропиленгликоль (4.144 мг), ПАВ - Спан 80 (22.72 мг) и Твин 80 (8.262 мг), консервант - тиомерсала (0.05 мг)."
"ВОЛЬВАК® ND+IB+EDS KV (VOLVAC® ND+IB+EDS KV)";"формалин (0.432 мг), минеральные масла (265.48 мг), пропиленгликоль (4.144 мг), консервант - тиомерсал (0.05 мг) и вода д/и (до 0.5 мл)."
"ВОЛЬВАК® ND LaSota MLV (VOLVAC® ND LaSota MLV)";"стабилизатор А - 0.0006 мл (тиомочевина, аскорбат натрия, биотриптазный пептон), стабилизатор В - 0.0006 мл (обезжиренное молоко) и консерванты - растворы пенициллин-стрептомицина и гентамицина (по 0.0000043 мл). Стерильный разбавитель ""Вольвак® дилуент"" (Volvac® diluent): раствор натрия хлорида (0.9%), гидрофосфат калия, дигидрофосфат калия и краситель Blue Color No.1."
"ВОЛЬВАК® ND Conc. KV (VOLVAC® ND Conc. KV)";"формалин (0.1728 мг), минеральное масло (121.8 мг), пропиленгликоль (0.6216 мг), консервант - тиомерсал (0.02 мг) и вода д/и (до 0.2 мл)."
"ВОЛЬВАК® IBD MLV (VOLVAC® IBD MLV)";"Растворитель: физиологический раствор хлорида натрия, подкрашенный Blue Color No.1."
"ВОЛЬВАК® IB Mass MLV (VOLVAC® IB Mass MLV)";"стабилизатор НЗХ - 0.0006 мл (сахар, глутамат натрия, NZ амин, желатиновый и мясной пептон, растворенные в воде для инъекций), стабилизатор В - 0.0006 мл (обезжиренное молоко, растворенное в воде для инъекций), консервант - раствор пенициллин-стрептомицина и гентамицина (по 0.0000043 мл) в одной иммунизирующей дозе. Стерильный разбавитель ""Вольвак® дилуент"" (Volvac® diluent): физиологический раствор натрия хлорида, гидрофосфат калия, дигидрофосфат калия и краситель Blue Color No.1."
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 0.4 мг";" кремния диоксид - 0.9%."
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 2.1 мг";" кремния диоксид - 0.9%."
"8 В 1 ЭКСЕЛЬ МУЛЬТИВИТАМИНЫ ДЛЯ СОБАК МЕЛКИХ ПОРОД (8 IN 1® EXCEL® MULTI VITAMIN - SMALL BREED) таб.";"лактоза - 5.7%, минеральные вещества (дикальция фосфата дигидрат, хлорид натрия, диоксид кремния) - 27.3%."
"8 В 1 ЭКСЕЛЬ МОБАЙЛ ФЛЕКС ПЛЮС (8 IN 1® EXCEL® MOBILE FLEX(+))";"мука кукурузная (в качестве наполнителя)."
"8 В 1 ЭКСЕЛЬ КАЛЬЦИЙ (8 IN 1® EXCEL® CALCIUM) таб.";"лактоза - 44.1%, минеральные вещества (натрия хлорид, диоксид кремния) - 32%."
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН+МСМ (8 IN 1 EXCEL GLUCOSAMINE+MSM) таб.";"стеариновая кислота - 5.5%, глицерин - 1%, кремния диоксид - 0.5%, магния стеарат - 0.5%."
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН (8 IN 1 EXCEL GLUCOSAMINE) таб.";"кремния диоксид, магния стеарат."
"БИОСЕПТИН (BIOSEPTIN)";"агаризованная питательная среда после выращивания этих бактерий, этанол."
"ВЕТОМ 4 (VETOM 4)";"сахар или сахарная пудра и крахмал. "
"ВЕТОМ 3 (VETOM 3)";"сахар или сахарная пудра и крахмал. "
"ВЕТОМ 2 (VETOM 2)";"сахар или сахарная пудра и крахмал. "
"ВЕТОМ 1.1 (VETOM 1.1)";"сахар или сахарная пудра и крахмал. "
"ГЛИКОПИН® (GLIKOPIN®) таб.";"лактозы моногидрат, сахароза, крахмал картофельный, метилцеллюлоза, кальция стеарат."
"ФОРВЕТ® (FORVET) раствор д/инъекций";"натрия хлорид - 900 мг, вода для инъекций - до 100 мл."
"АСД фракция 2 (ASD fraction 2)";"вода."
"ВЕЛЕС 6.59 (VELES 6.59)";"жидкая питательная среда."
"ФОРТЕКОР® ТАБЛЕТКИ (FORTEKOR® TABLETS) таб. 5 мг";"целлюлоза микрокристаллическая, кросповидон, кремния коллоидный ангидрид, стеариновая кислота, сухие дрожжи, добавка со вкусом говядины."
"ФОРТЕКОР® ТАБЛЕТКИ (FORTEKOR® TABLETS) таб. 20 мг";"целлюлоза микрокристаллическая, кросповидон, кремния коллоидный ангидрид, стеариновая кислота, сухие дрожжи, добавка со вкусом говядины."
"ПРАК-ТИК® (PRAC-TIC®) раствор д/наружного применения";"бутилгидрокситолуен, диэтиленгликоля моноэтиловый эфир."
"ИММУНОФАН® (IMMUNOFAN) раствор д/инъекций";"глицин - 5 мг, натрия хлорид - 9 мг, вода д/и - 1 мл."
"ТИЛОЗИН (TILOZIN) раствор д/инъекций 50 мг";"пропандиол, бензиловый спирт, вода д/и."
"ТИЛОЗИН (TILOZIN) раствор д/инъекций 200 мг";"пропандиол, бензиловый спирт, вода д/и."
"ДОКСИЛОКС® (DOXYLOX) раствор д/инъекций";"спирт бензиловый, пропиленгликоль - до 1 мл."
"БУРСИН ПЛЮС (BURSINE PLUS)";"* вакцина изготовлена из гомогената тушек, экстраэмбриональной жидкости и околоплодных оболочек СПФ-эмбрионов кур, инфицированных аттенуированным вирусом инфекционной бурсальной болезни (штамм Lukert). Вспомогательные вещества: гентамицин, стабилизатор Н."
"ПУЛВАК IB ПРАЙМЕР (POULVAC IB PRIMER)";"* вакцина изготовлена из экстраэмбриональной жидкости СПФ-эмбрионов кур, инфицированных аттенуированным вирусом инфекционного бронхита кур. Вспомогательные вещества (стабилизаторы): D-маннитол - 10-50 мкг, инозитол - 10-50 мкг, пептон - 13-65 мкг, желатин - 13.6-68 мкг."
"СУВАКЦИН MH-ОДИН (SUVAXYN MH-ONE) сусп. д/инъекций";"вода д/и."
"ИМПРОВАК (IMPROVAC) раствор д/инъекций";"ДЭАЭ-декстран, хлорокрезол или тиомерсал, мочевина, вода д/и."
"АВАТЕК 150G (AVATEC 150G)";"лигносульфонат кальция, железа оксид, кальция сульфата дигидрат."
"НАКСЕЛ (NAXCEL) сусп. д/инъекций";"триглицериды со средней длиной цепи - 0.842 мг, масло хлопковое - 0.094 мг."
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 100 мг";"монотиоглицерол - 5 мг, пропиленгликоль - 500 мг, лимонная кислота - 19.2 мг, хлористоводородная кислота, натрия гидроксид, вода д/и - до 1 мл."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) таб. 50 мг";"целлюлоза микрокристаллическая - 45.2 мг, повидон среднемолекулярный - 11.3 мг, кросповидон - 5 мг, кремния диоксид коллоидный - 5 мг, магния стеарат - 2.5 мг, сахар молочный (лактоза) - до 250 мг."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) таб. 125 мг";"сахар молочный (лактоза) - 33 мг, повидон среднемолекулярный - 15 мг, кросповидон - 6 мг, кремния диоксид коллоидный - 6 мг, магния стеарат - 3 мг, целлюлоза микрокристаллическая - до 300 мг."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) раствор д/инъекций 25 мг";"вода д/и - до 1 мл."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) раствор д/инъекций 50 мг";"вода д/и - до 1 мл."
"ФОСПРЕНИЛ (PHOSPRENYL)";"глицерол, этанол, твин-80, вода д/и."
"ГАМАВИТ (GAMAVIT)";"среда 199 (10-кратный концентрат), вода д/и."
"ГАМАПРЕН (GAMAPREN)";"глицерол, этанол, твин-80, вода д/и."
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";
"ЭКО-ДЕЗ (ECO-DES)";
"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций";
"ЭкоСайд Адванс (ECOCID ADVANCED)";
"ХЕЛАВИТ С (HELAVIT C) раствор";
"ХЕЛАВИТ В (HELAVIT B) раствор";
"ХЕЛАВИТ А (HELAVIT A) раствор";
"ПНЕВМОСТОП® (PNEUMOSTOP) раствор д/инъекций";
"СОМАТИК-ЭКСПЕРТ (SOMATIC-EXPERT)";
"ЦИФЛОН (CIFLON) раствор д/наружного применения";
"ФЛУКСИРОЛ (FLUXIROL) раствор д/инъекций";
"ТЕТРАВИТФЕРОН-Б (TETRAVITFERON-B) раствор д/инъекций";
"РЕЦЕФУР (RECEFUR) сусп. д/инъекций";
"ДЕКТОМЕКТИН (DECTOMECTIN) раствор д/инъекций";
"БЕЛКОХЕЛП (BELKOHELP) порошок: , 0.01 %, 0.1 %, 0.17 %, 0.3 %";
"БЕЛКОХЕЛП (BELKOHELP) порошок: 0.01 %, 0.1 %, 0.17 %, 93.5 %";
